"_id",art_title,error,tool_name,tool_price,tool_star,url,part number,item weight,product dimensions,item model number,item package quantity,number of pieces,measurement system,included components,batteries included?,batteries required?,package dimensions,warranty description,size,number of handles,california residents,color,brand,manufacturer part number,oem part number,usage,style,material,certification,power source,batteries,voltage,torque,plug format,battery cell type,model,folding,head style,wattage,special features,pattern,national stock number,discontinued by manufacturer,assembled diameter,finish,handle material,cover included,shape,installation method,thickness,cutting diameter,blade length,type of bulb,vehicle service type,handle/lever placement,grit description,exterior,capacity description,tool tip description,accessory connection type,horsepower
5b6a886a9fc5af34f8f3dfad,"16 oz Fiber Glass Claw Hammer Heavy Duty Construction Shock Resistant Rubberized Non Slip Handle for Contractors, General Laborers, Repair Men, Automotive Mechanics, Household Maintenance by BASTEX",1,Bastex,,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_tools_sr_pg1_1?ie=UTF8&adId=A0739756334V95BUR4XL&url=https%3A%2F%2Fwww.amazon.com%2FConstruction-Rubberized-Contractors-Automotive-Maintenance%2Fdp%2FB01MS1KOEA%2Fref%3Dsr_1_1_sspa%2F147-6603142-7052802%3Fs%3Dpower-hand-tools%26ie%3DUTF8%26qid%3D1529051023%26sr%3D1-1-spons%26keywords%3Dhammer%26psc%3D1&qualifier=1529051023&id=2140523781816837&widgetName=sp_atf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886a9fc5af34f8f3dfae,"Overpeak 8-Ounce Curve Claw Hammer with Steel Handle for Dad, Christmas, Birthday, Father's Day",0,Overpeak,$9.99,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_tools_sr_pg1_2?ie=UTF8&adId=A03638461856QVEFO57PW&url=https%3A%2F%2Fwww.amazon.com%2FOverpeak-8-Ounce-Christmas-Birthday-Fathers%2Fdp%2FB01MTYQHTH%2Fref%3Dsr_1_2_sspa%2F147-6603142-7052802%3Fs%3Dpower-hand-tools%26ie%3DUTF8%26qid%3D1529051023%26sr%3D1-2-spons%26keywords%3Dhammer%26psc%3D1&qualifier=1529051023&id=2140523781816837&widgetName=sp_atf,BR215023,14.4 ounces,,,1,,,,No,No,11.1 x 4.7 x 1.4 inches,,8-ounce-4,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886a9fc5af34f8f3dfaf,Stanley 51-163 16-Ounce FatMax Xtreme AntiVibe Rip Claw Nailing Hammer,1,Stanley,,4.7 out of 5 stars,https://www.amazon.com/Stanley-51-163-16-Ounce-AntiVibe-Nailing/dp/B000HSGPSQ/ref=sr_1_3/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-3&keywords=hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886b9fc5af34f8f3dfb0,"IRWIN Tools 1954889 Fiberglass General Purpose Claw Hammer, 16 oz",0,Irwin Tools,$7.98,4.5 out of 5 stars,https://www.amazon.com/Irwin-Tools-1954889-Fiberglass-General/dp/B01HD6N80W/ref=sr_1_4/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-4&keywords=hammer,1954889,1.54 pounds,12.8 x 5.8 x 1.1 inches,1954889,1,,Metric,Claw Hammer,No,No,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886b9fc5af34f8f3dfb1,Stalwart 75-HT3000 16 oz Natural Hardwood Claw Hammer,1,Stalwart,$7.70,4.7 out of 5 stars,https://www.amazon.com/Stalwart-75-HT3000-Natural-Hardwood-Hammer/dp/B01C8PTKM8/ref=sr_1_5/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-5&keywords=hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886b9fc5af34f8f3dfb2,Estwing Hammer - 16 oz Straight Rip Claw with Smooth Face & Shock Reduction Grip - E3-16S,0,Estwing,$20.97,4.8 out of 5 stars,https://www.amazon.com/Estwing-Hammer-Straight-Smooth-Reduction/dp/B0000224VG/ref=sr_1_6/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-6&keywords=hammer,E3-16S,1.55 pounds,13 x 6 x 1 inches,E3-16S,1,,Metric,"Handtools, Hammers, Hammer Handles",No,No,,Manufacturer,16 oz (Ounces),,Click here for Proposition 65 warning,Silver,,,,,,Forged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886b9fc5af34f8f3dfb3,TopBuilt 16 Ounce Curve Claw Hammer with Fiberglass Handle 25025,1,TopBuilt,,3.9 out of 5 stars,https://www.amazon.com/TopBuilt-Ounce-Hammer-Fiberglass-Handle/dp/B0725WK4MS/ref=sr_1_7/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-7&keywords=hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886b9fc5af34f8f3dfb4,"Stanley STHT51346 7Oz Curve Claw Fiberglass Hammer,",0,Stanley,$5.89,4.8 out of 5 stars,https://www.amazon.com/Stanley-STHT51346-Curve-Fiberglass-Hammer/dp/B01M4LXMTB/ref=sr_1_8/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-8&keywords=hammer,STHT51346,14.4 ounces,4.7 x 1.2 x 12.2 inches,STHT51346,1,,Metric,1) 7oz Fiberglass Curve Claw Hammer,,No,,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886c9fc5af34f8f3dfb5,Stanley 51-106 13 Ounce Wood Hammer,0,Stanley,$9.77,4.6 out of 5 stars,https://www.amazon.com/Stanley-51-106-Ounce-Wood-Hammer/dp/B002BYBVHO/ref=sr_1_9/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-9&keywords=hammer,51-106,1.15 pounds,12.1 x 4.8 x 1.3 inches,51-106,1,,,,,No,,Limited Lifetime Warranty,13-Ounce,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886c9fc5af34f8f3dfb6,Estwing Sure Strike Drilling/Crack Hammer - 3-Pound Sledge with Fiberglass Handle & No-Slip Cushion Grip - MRF3LB,0,Estwing,$15.97,4.7 out of 5 stars,https://www.amazon.com/Estwing-Strike-Drilling-Crack-Hammer/dp/B00433SC4Q/ref=sr_1_10/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-10&keywords=hammer,MRF3LB,3.47 pounds,10.8 x 4 x 1.8 inches,MRF3LB,1,,,,No,No,,"Estwing warrants its all steel hammers against failure in normal use, but does not warrant its tools against misuse, abuse or wearing out. Misuse could include, but are not limited to the following: a). Striking other hardened objects such as other tools, hardened nails, drills or chisels, etc. b). Pulling (attempting to withdraw) hardened nails, screws or nail sets. c). Filing of nick in claws or handles",3-Pound,,,blue/yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886c9fc5af34f8f3dfb7,"Household Hand Tools, Pink Tool Set - 9 Piece by Stalwart, Set Includes – Hammer, Screwdriver Set, Pliers (Tool Kit for the Home, Office, or Car)",0,Stalwart,$8.93,3.7 out of 5 stars,https://www.amazon.com/Household-Hand-Tools-Pink-Tool/dp/B0160PMN44/ref=sr_1_11/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-11&keywords=hammer,75-HT2007,1.05 pounds,4.5 x 8.2 x 1.8 inches,75-HT2007,1,,,,No,No,,,,,Click here for Proposition 65 warning,Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6a886c9fc5af34f8f3dfb8,Stalwart 75-HT3001 16 oz Tubular Steel Claw Hammer,1,Stalwart,$6.88,4.1 out of 5 stars,https://www.amazon.com/Stalwart-75-HT3001-Tubular-Steel-Hammer/dp/B01C8PTOX8/ref=sr_1_12/147-6603142-7052802?s=power-hand-tools&ie=UTF8&qid=1529051023&sr=1-12&keywords=hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
